adhE,nlpD_rpoS,narZYWV,narL,katG,alkA,frdABCD,fnr,dcuB_fumB,osmY,ansB,tdcABCDEFG,aspA,narGHJI,cyoABCDE,focA_pflB,dps,fdnGHI,nhaA,narK
2967.8564298403,132.6418012385,724.0195993053,269.4449142154,138.0498879333,283.1443872666,1384.9970676562,961.8340915217,1060.8826493281,717.6861508206,1004.8656950308,10422.2975088738,3510.4168535294,673.5144464986,71.5447444257,1260.2653258932,4340.1323664093,1447.6876223405,4083.6456042612,2969.6989789793
1159.876546195,30.2495250512,351.1544043176,492.6454964149,51.3143729041,129.1420877929,2441.8310129348,2197.5348377062,951.4951922283,402.0153272314,1640.0590994719,12181.2649025513,5894.0004649154,838.7852532358,14.210425436,997.1776756141,2578.6921907463,2429.8773921381,1644.7287754698,5157.9652167297
4743.2951994443,150.862387909,713.3318151934,134.8525803555,158.4203043498,287.8939306718,114.4226003219,32.7820353926,96.7412248664,828.4281146722,50.5487575228,3567.1966715606,223.9612643082,225.8971407753,177.7284285687,139.2932553579,4831.7654783078,460.1142624817,4567.7674065869,693.5364276588
1790.7686732305,64.6500280999,527.5230709667,420.2641669299,111.9388080071,182.2106919629,476.394566545,220.2205484331,244.6434720679,520.6624516427,330.1912937981,4744.7459585376,1596.1503563126,503.3269098931,165.9662179365,386.2783808203,3079.6798677331,1641.7891660431,2615.760841067,2806.3936172653
5134.4397315269,132.831268857,697.1044941939,144.2035896673,141.1920504272,292.3929308789,3155.5980942075,2582.6758618353,1636.100409028,774.1942778556,1708.1487216597,12143.898238368,6036.7874549267,676.1319364847,6.9847742846,3144.4764797592,4703.8379947912,1946.4290437044,4862.4843855742,3050.9126368118
2192.3333248593,57.2897159442,446.2738305773,413.5827071537,96.5972626046,196.5801858786,2626.6677857653,2545.6779479204,1572.7490854172,386.3979079381,1526.1060765657,12174.5064938094,5930.8690720728,830.535943804,7.7349617199,1556.2908787358,3256.1968516411,2542.430324875,2547.5972271599,3836.1078602479
1936.3122020928,79.0454486642,544.8734275649,351.9849474859,111.1578513941,232.243657921,3112.9205413792,2722.3097096901,1262.2150696385,428.4483942696,1766.782865928,12365.4932552646,6125.9199716498,838.8658116694,2.7572918182,1718.3557192155,4125.8738945116,2561.4564388461,2960.7259695977,5954.3171291978
508.5856346868,16.5112932802,154.6434727017,578.6584842383,30.7269849093,57.8094440968,840.4219094856,422.1295942797,330.3223742435,166.9696518439,646.8616329111,7171.9374934756,2625.2762515933,576.1700297591,113.0063016344,575.2676276282,1426.5551022443,2102.4907698894,755.4300242566,2673.3197153845
3455.1723270274,127.5424015678,665.0517435175,150.0943856528,146.8356461282,237.14741689,2964.7048146626,920.324763559,1227.486126313,796.8940306281,1139.1839366032,10825.1701575236,4970.2278342657,581.4367417133,68.2887345699,1387.2205974779,5066.3781830738,1919.3382622082,4150.6300035874,3137.0786902059
231.88777218,10.1362918364,108.525004908,574.5870154217,19.7582321492,61.0407141847,2467.8610512662,2314.857105782,887.8654961647,131.6113107823,1557.4905402239,11956.7232520743,5916.531429288,811.6607010228,13.0834390952,1075.4125054251,914.9486544265,2311.4638646984,542.90872999,5787.0717042457
4484.4209725698,134.9995131975,695.1555386047,166.4141340816,156.1816525877,287.7438885389,3213.6768954213,2785.7062124442,1339.10181605,825.2801923038,1785.3500018138,12447.0689563395,6174.8249227578,744.1642705873,0.4968569105,2138.0940495127,4612.5249127612,2071.2249865103,4757.9048492925,3421.5863678213
4507.8121529654,150.2791877759,781.8233174546,156.6249899793,142.8727724016,268.1613868066,2548.4938712594,1836.7965386535,1065.8935252882,808.0165972209,1494.4328227139,11209.0770209436,5126.2707848758,638.8417674271,43.3466221972,2015.5918406111,4337.1734739163,1619.9565765323,4771.0938120531,3583.6100186491
5823.8057352388,180.7480119719,817.1256435431,59.4310486168,171.5147253029,308.1886813922,2183.6897950865,1064.7558601642,1213.5286397426,846.0937137734,1132.4249715847,8830.5054210143,3746.2937910604,395.1732628923,71.0482183591,2303.7663664386,5063.9599254188,1162.9129422517,4781.9076926416,1549.9860320278
1624.6519917178,48.7247256318,546.8727919264,342.3893675559,84.0347600344,181.8073473115,779.8882824158,449.5858917157,484.8092917252,575.3453037344,500.9563144354,5952.6308091963,2643.8873247023,550.9870409323,146.1319162448,537.7347335852,2563.903944925,1362.9191056474,3060.9255148234,2198.1707575735
4941.8330125774,152.5120122686,748.553542704,106.0247206687,157.2336031272,309.6888418456,3338.5127033061,2448.778876438,1618.608557742,831.428047397,1723.8807600798,12183.7416824392,6068.6592885498,647.760889105,6.66178082,2811.2105469157,5023.5565564696,1732.5279480966,4157.9708926677,2855.533018317
1454.6506312348,63.3095029505,443.5630278089,377.7917244164,112.1672090461,222.8456797436,2227.8748834449,1784.6262686955,996.3523326832,501.1030842971,1488.0581705292,12090.9282458764,4844.7141777823,795.2239864061,47.8640615323,1088.205386131,2890.3932643284,1507.0397357291,2984.6656291232,5301.0117605875
4777.6400099559,148.4001654982,783.2700882756,148.6017704523,159.5276857172,285.6243974987,2393.666982456,1244.7944600899,1249.5847812146,804.2467494169,1150.5785297372,10706.4060836375,4971.7747902141,567.8129049449,63.1409895234,1846.1537908451,5027.8309533428,1392.1201666663,4572.6184600822,3761.8085373462
319.4359996855,12.1655819249,165.7784398177,539.3888913773,24.6660159739,54.9674623864,2434.1251284386,1839.7324834596,1118.8032913723,138.5796682543,1481.6865173515,11804.3735727814,5373.2102370971,840.1591973319,20.9057394891,1133.9921704823,759.8729925527,2527.1815261857,750.9710806395,5936.2341942222
6099.3467419602,185.707209539,834.2171883168,10.4886740052,174.192828954,317.2138568745,1044.8602784213,271.2630781224,487.7871846113,884.2318789126,364.1700271984,5154.1798626171,1427.9947647628,150.6047915113,157.5108636628,965.2809973082,5198.6466101073,403.8483584105,5068.0187731239,466.7827357249
345.3257108804,8.8468264592,104.5490380548,567.6359608544,18.3627380793,35.5572001467,2180.3869462781,2156.9185967842,893.0306936079,109.9197094416,1694.8715712642,10841.3240567648,5701.1282398222,806.297005725,20.316837926,1091.7854144091,711.6451569394,2521.6403860584,579.4817410148,6000.0119829946
4179.0599911503,158.7722454838,797.3952176586,86.931052165,153.011198973,276.111814707,2412.5332834697,2152.166087827,1334.0615254869,861.6337710882,1619.4336364543,10646.0842142704,5849.4718550681,601.4794257213,34.0594884373,2710.48478869,4593.0776686098,1336.7718335267,4894.4457244791,2685.9292356348
6023.5435170413,177.783542461,826.435203956,27.6124729857,172.5165566491,312.2153028873,3146.9799280839,2439.0570285604,1655.809468401,875.2589774962,1684.1581246137,12242.6620743137,5868.1604508954,560.5414034649,7.090119047,3472.0202546511,5162.7428524718,1489.2537431033,4973.2271509624,1862.0866142734
4699.9383291913,155.60910672,813.8537455329,61.9220349192,166.0555142268,297.9173344549,3204.7215710514,1937.0747950392,1366.317503937,854.8181524397,1489.4083234644,11853.2389605786,4760.2937424913,630.2902245237,22.7454838302,2243.4001456185,4952.644698717,1743.6675477522,4173.7724724017,2530.1527265409
3588.7423826187,117.6146407835,668.782098225,310.6935833166,130.868654982,285.3659855538,2906.900900066,2729.6286879269,1551.4976660697,774.6902212106,1778.197597566,12418.1071322783,6153.9501924778,796.0206484802,1.8185460987,1943.7016790149,3137.9203940603,2395.3583042851,4536.3193466947,5385.8094981983
4476.6056235458,147.1651668092,691.4088422028,159.116173563,168.9197642657,296.9438816797,2317.0131521605,1652.5127016961,1156.9964820601,814.8303391572,1357.8922242917,9764.0835362219,3939.5085972574,625.8885153969,51.7123036184,2462.3228486901,4672.1222701001,1403.256170353,4539.9860683497,2751.4911843023
52.32709669,1.3272051292,17.0039507792,600.0145429956,2.6211074815,6.4558689062,2100.6264826759,2200.6555098342,1074.9012576416,15.4269210123,1536.7720704794,11410.384232049,5298.2658454261,830.3352536306,34.2967018218,929.4878575869,132.8779136919,2548.604211183,80.2476227037,5716.3215631773
130.6913712729,5.8770768746,93.4451499244,581.952828888,12.9938886382,27.4686638469,1907.7503578372,1725.0254864057,802.1959531392,62.9863538422,1258.4064847632,11849.5459685874,4589.8051465193,840.815230946,36.5958078675,1106.8840861191,526.7839636128,2365.0236684671,406.7139988624,5022.3567151652
6056.8749916779,186.4606621658,834.929000246,5.7103233743,174.2336995143,317.6443192581,3366.4392568675,2507.2534220956,1675.1470643183,885.9627270235,1545.0554213337,12184.2270609707,5863.2160242111,425.1845450009,11.4829288245,3547.4529874914,5201.7582553061,1544.8482778928,5079.8055111642,1375.2146829629
1061.4629193404,49.3940966365,355.4484095213,517.827706543,71.1517166215,134.6250459974,2575.0432900738,2423.242450193,1107.6046072776,424.5728909966,1740.7040310465,12147.5285598616,6002.8657751009,851.1451802382,10.3392143379,1159.8034441231,2538.4493688377,2608.4518152169,2329.9815396388,5101.6432061161
4207.4505096316,172.9380412657,789.0314327662,145.1588377969,165.299101233,287.756826046,736.493180588,360.0542108723,562.8023057906,814.0068368689,466.7807472033,6909.0279281,2120.8018470874,532.4240787569,104.9535983487,976.6738970819,5067.3267589349,878.6388418047,4825.3243220005,1623.6926836467
723.5135932596,24.1621149163,337.2198056937,553.8362148548,59.7997087776,113.008272375,850.3465486564,697.2090644054,534.5445477806,343.9634804471,735.8457259933,7675.1124115537,2469.0226486446,635.9013947561,109.0667603114,618.9445858915,2173.6122522575,2071.5612802374,1365.8900362281,3786.2909708539
3110.0436710924,95.3800061978,620.9715010742,371.162006243,114.7215747341,217.4994840344,2161.0346691071,1227.5173019483,876.7771402659,752.4340149953,1295.8998295421,10520.8077928934,4319.3752495337,697.3674392618,71.3215624123,1408.0370824969,3605.2741921938,1875.3555835839,3367.3928109041,4633.9654103187
3252.4804384437,103.59063856,677.9274756101,292.407574495,106.1344659092,213.5107778193,2485.7758914991,1942.0126168205,1229.6141753477,824.1924512397,1709.7980828809,11849.5986647008,5638.0153527464,823.718598817,34.0989867557,1659.2275118993,4005.7110446661,2223.8519756168,4030.9846328478,4911.5133253717
229.1854213191,8.7441317051,110.4198490971,585.4522187855,18.2320301883,41.3769572586,2183.9373321831,2309.7176732736,1296.9434521388,124.1016181887,1557.3654845245,12099.669775315,5743.4762605839,853.0707408135,17.8906712252,1037.7687637837,798.8069397495,2170.0760616047,511.1915059343,6247.1017497933
2790.5566264735,99.5468495457,672.9424210651,332.3709155797,121.7526701933,249.6421387288,1710.5335217252,1047.9412263329,1012.0473513532,650.6505031118,1310.3477167363,8913.5426197081,3486.9278285616,734.1426551473,55.0370196785,1236.5226421323,3941.7603872437,1311.738486559,4088.6414857459,3212.9182079794
4895.8637647197,140.3727675781,733.7801898752,127.2792615834,147.7898770803,258.3699952277,1582.3547483015,591.9091426687,808.6115239032,745.4335546707,725.8715246623,7241.6777183116,3022.3242639042,515.6783817903,134.1571866356,987.5426359028,4342.3089413745,1122.6746425438,4887.7750380988,1718.8747623874
3569.5355171015,122.3404783641,667.8526629296,225.3038475094,148.1601127778,248.6008519258,341.8528650672,108.9173945341,229.0031394219,686.0747612704,161.880030177,3540.5967148897,1022.3774425208,411.3255589159,154.7003282831,322.6379355204,4731.4413270247,696.612961832,2945.8312941771,1348.4705586502
1738.8653571355,46.4072626272,408.3690616433,328.1325239466,88.3199931284,151.5812215708,1777.5760479318,1326.5751507818,1120.0027822807,414.3600316004,1398.3744754621,9769.7427823725,5103.3805131535,628.0560798461,40.9562838585,1736.0821545042,3614.384774804,1994.7679895279,2483.6091758733,5551.0766190321
2715.9353617187,108.5389970319,679.8751191388,334.9780878871,117.9291619281,243.0999381865,2843.5187987538,2741.8684587071,1271.4901872711,621.3161351834,1770.3575054941,12387.2310866451,6133.739663254,780.2293973119,2.6847483745,1486.8707171393,4067.6764433081,2262.6505194155,3008.9450803867,5922.3123743876
4397.2669189729,128.9990548474,774.9070681582,173.9244917881,150.8523938812,247.295178328,2575.5851126184,1859.5789644442,1247.7031841016,675.8047376491,1485.1043610864,11575.3397942252,5531.5287413464,754.9465321892,29.6310091839,2227.9723859496,4986.5679802435,1999.696080119,4587.597930471,3381.6040301312
4367.9609368788,158.7787209793,805.8458629369,56.0095079311,167.038814797,306.9572564288,3052.4862999601,1565.7628497604,1397.48398179,854.2460736608,1343.7180063699,11261.331020227,5203.7638389651,497.8080798413,53.4065520973,2511.0230864531,4804.2658939137,1538.770324866,4812.0817416352,1862.3029031561
3993.5145462216,92.1704977217,812.946190993,194.4661316122,146.3858675354,268.7287506508,2280.0112488839,1674.5123521728,903.1171958439,792.3388738687,1459.0516865898,8784.0524080861,4265.5688428885,663.5291309028,41.2897366835,1922.8484723281,4601.0989960132,1731.5982067935,4652.5040760125,3724.3109986911
1623.9779828109,35.640483322,488.1046657829,419.5386932928,65.4691600444,158.7104208517,1759.736368321,1126.8907434454,818.7831546928,403.5211307109,1063.2913583991,9583.8725870644,5117.2531846553,607.9792626743,84.1394701884,1182.5703875646,2759.4918753673,1723.2964022507,2238.2295254946,5023.174772663
678.2513738519,30.1761487995,300.9244887165,559.2121813402,41.8553940249,108.4822445147,1592.9703232668,1403.5383495621,751.8037598633,209.0627772926,1257.7751087497,10995.7911257767,4021.8506426732,764.3254907982,43.4239745575,929.7594863603,1674.309189656,2317.1833651263,1032.2575011411,5054.5516938848
864.7740498199,28.2106968446,266.8272571103,527.0999138869,48.606217741,110.3209319145,799.440489194,595.4474302445,544.2556758246,220.8191098991,591.3992219927,7494.358575477,2407.7339386916,488.5884938185,147.3099021132,587.2556164997,1628.1490499786,1618.3384484441,1705.8311662231,3615.8475740608
807.852632551,29.4323776724,278.9734517807,539.8906638584,54.751571716,109.2806573066,866.7336226777,476.2890578665,352.4818927582,273.996680636,593.2281817479,4919.7454735049,2460.6156341194,609.1269424525,129.4601712413,521.6551801788,1740.5176248689,1819.2545610705,982.389100505,2946.2570205096
4985.7013435658,169.3998849071,815.7760976913,63.8053500304,167.1766894087,308.5082826323,3296.170325967,2482.1082098787,1521.4123175843,868.4335035456,1707.0509633488,12041.2132321915,5959.3611825691,591.8374616675,6.409163521,3430.6932550045,5029.315639287,1707.5378904132,4895.0758370343,2132.9582369059
1478.7582035204,66.8128334083,427.1553429458,487.9983200548,87.0687673655,150.9800695637,1593.1089210842,1487.3915468024,1100.5034112983,426.7196696931,1321.1554502551,11836.6185814773,5908.0868616288,617.5219633828,50.1074425799,1512.2995082452,2621.9746536573,2478.7470966112,2891.8975002394,5221.5546399965
3420.0041408861,166.4951658782,795.0699591538,72.3962170846,160.5830590307,304.4397381824,3186.0078581981,2505.5226101547,1603.8751449413,827.804094213,1686.2805831081,12179.8097715642,6001.0370053062,607.2056887007,8.9846587963,3122.2548664068,3994.0629513132,1832.816783538,4701.781389675,3189.0022811859
1217.0292626665,35.0657003561,539.8135915966,439.3447528427,57.3888119459,142.9435566827,726.1448481635,422.2095195148,428.9762389539,461.890456012,670.8049941973,7506.6788064577,2703.8222549548,750.6110671709,153.4205119275,463.9062599938,2716.1328597639,1841.5733164465,2153.1248962815,3154.1766426023
409.4816094184,13.129518688,173.0794164143,554.3020766878,23.2497187342,68.9415385427,350.2173000176,221.4204153353,157.8323148942,174.7590589119,226.5612304561,4793.7545671641,1742.8569160941,543.1309072238,153.2983256515,338.3002290009,759.8101165944,1564.5119145354,783.8095761386,1919.0142668595
5720.0256987615,171.9681149326,758.252730571,72.7577274111,153.2994586004,311.2003338645,829.4011880118,200.9921461087,337.1499159373,814.0156148697,345.8425179062,5761.1774667687,1322.8378611056,294.8951237994,161.7458347125,768.8831428178,4981.069366174,480.1848521911,4961.3164459805,811.2980910966
308.3711728411,9.1167212301,133.26821476,539.8114206826,20.6887201149,39.0363880439,2659.8403114101,2727.4872947383,1103.3771579962,121.938497469,1771.1984177173,12390.7477022283,6135.027330172,865.6108700926,1.7726356343,1360.7469818296,907.2859414003,2614.6513679165,544.2081783491,6328.4793617937
930.2616508609,28.41432623,323.1272076593,497.3394012336,50.0058355443,100.289048117,2417.597953959,1648.7855475483,1120.0028329158,233.7055578014,1466.346891911,11240.7862517087,5799.9988449219,768.2916926047,47.2287174262,799.71433376,1878.3765726055,2076.1828280338,1198.5874218732,5198.6361954006
1446.0242671053,40.9443187542,422.690738207,479.9357945757,74.9932373654,163.4341676158,507.5702115427,259.8090854209,215.9970488374,436.6993881808,342.7316429396,4497.8111043299,1459.9929781185,487.0375294223,153.4456628191,388.6434910677,2516.0454659643,1386.9356043198,1532.8365454401,2154.8126515644
3533.5935923847,105.4076161219,650.0579499728,149.6598465796,127.5309876134,233.5523256038,3319.7564549745,2804.213557458,1615.5749788638,765.0161852002,1790.0906804124,12464.3512991269,6186.2630020356,799.748689916,0.058338612,2015.275887957,4925.3788760319,2546.9514753894,4680.0810249941,4723.1950192242
1748.8627730448,69.7320040471,497.4093426482,371.6413209024,88.0298307999,186.8296630542,836.9269347313,681.0713723168,528.8581709619,616.0367814404,635.7204755863,9223.4976423984,2972.6905241239,590.9383023046,104.4494497248,928.6401754384,2950.7228367722,1536.4114275243,2333.0120255859,3478.0425085204
2080.0930889305,67.20766576,509.9125173442,464.4346065922,114.4461563399,191.7566400264,1890.989448013,1700.3918482741,1222.7838486873,525.7065175883,1480.0197870411,11880.1677001187,5804.922484689,671.7980407349,41.6344312763,1689.9995359966,3816.7571527225,2071.4141991398,2851.7783793963,4736.092911948
4797.6449602415,139.7279556294,730.9399591327,122.6971439479,144.8677456956,303.7720751821,3319.842458722,2649.5174199174,1649.5803194054,760.4764266563,1734.2012230652,12296.9266414852,6072.3205089109,724.9031622587,5.3136151706,2866.3706602782,4760.4771021553,1749.9108050918,3861.5628391087,4735.0129310766
2419.888918946,89.5100107283,654.7098299,213.8410322883,162.2177283463,277.533734337,2300.7182274635,2301.7227185315,1422.1981898544,640.2769758832,1460.5559873684,10639.1326679536,5866.6346872727,638.1644013762,13.3477545908,2080.5445989457,4415.6685025642,2223.1003324004,3692.5980965458,4364.3699007262
1695.1282752348,71.0543857756,512.7527469477,375.3924195072,98.1557447348,160.2875395624,478.5646769591,174.8897043786,199.0026301731,446.1918528255,285.9685461771,4647.7013232606,1591.0824191862,565.2373156027,155.040512319,320.5466454583,2429.8635495597,1250.3293993063,2757.6585344195,1659.6138045022
2419.3878382922,99.1817088659,627.7295904093,358.4765345943,146.0186276065,284.682533908,3208.6071696189,2548.9576784681,1353.9630378424,561.8958588488,1751.9179754416,12274.663796301,6035.8527966001,832.1382904714,5.1326355807,1767.3017325522,4620.2943540933,2291.9461153483,4288.1047003904,4801.7150920815
1416.6036534285,50.4878950911,528.7315770844,438.4392690927,69.7479955315,148.8410738153,1526.4762352061,1058.9042170053,625.9133992888,414.4599439204,1048.8229693501,8107.8969575646,4705.9699061821,622.8127171615,86.1287872843,774.7802759683,2706.9370373894,2021.1200880935,1680.2928129164,4319.1404640103
3545.7038584316,122.7261201918,632.6179173352,190.4726220583,115.412041843,230.3920995279,1731.773230583,1266.4190932354,877.2891154157,751.1544039664,1381.7872269697,10807.4006215243,4246.2502030085,579.7875124834,48.8812271307,2062.0445147003,4932.8402085973,2054.8210205789,3612.6956459871,4183.7782512767
1987.4971002128,69.1545048274,658.8857215293,434.8341849368,129.221086274,171.3678041839,2085.9778725204,1721.4818632214,893.7909473242,581.777976916,1041.7314257926,9934.6317370466,5534.5205969996,775.745729629,38.8789811957,1238.8066680844,2628.3192024585,1561.9893558886,2558.1701574304,4924.4237720905
1188.336220463,63.4881131491,453.4498167749,467.4397182497,81.9610988819,142.9640105482,2546.1314401073,2573.7567726812,1222.3723397537,530.4930286398,1610.1962312151,12165.0574525906,5967.1565380113,845.1875472614,7.7939645803,1720.3230537336,2395.4806528843,2377.2311665976,2272.5869604683,5673.8926547555
4066.2833404347,144.6396602664,801.716406974,140.426178105,155.8146052253,307.1188954303,2707.7136604749,1908.2588998494,1360.640048977,812.4224439077,1336.6969421688,10899.6219352443,4685.9625103379,701.2810182195,37.7664586336,2366.1817007247,4733.7807172737,1871.4097030593,4260.6637199535,2911.8723737709
3217.0936210133,148.5762121697,799.4005482434,152.8955605709,132.0841177228,291.4127006601,2170.4997170881,1339.8444487925,1350.2464287965,710.5498830257,1305.9181494696,11828.5243935444,4639.5886233445,529.3385078243,67.3376585204,1905.3437395359,4531.4616356993,2094.8805329404,4907.3799688176,2379.6172574594
1206.5284101424,48.3970431075,490.9012129282,407.9934490585,68.4117784952,165.8533409487,589.6971446886,362.3198943388,335.7957126923,408.5033489464,436.0857366171,4918.1043857947,1538.921388494,626.2721605813,146.795675158,527.8710698273,2613.9118599443,1163.328873703,2358.2595586203,2147.8596511286
1711.2472971149,58.4205490588,543.8803215573,418.8091976177,86.5171039941,176.0032284936,2486.3951235172,2056.5369155507,1264.8930489512,409.0333186249,1570.8047561256,12161.807985907,6011.8687433816,842.6731378271,14.946727219,1417.5785179463,2511.1286404697,2455.918616921,2403.1870409069,5019.8373109169
3873.7357344233,122.530440497,620.0348088071,253.458545399,128.2982586774,262.1587147724,2937.6050049443,1972.5657561221,1399.3051897551,810.7473978572,1535.8990019706,11587.5654108869,5122.7058721457,666.5449628351,35.8128840383,2011.4012052465,3563.7082380197,2472.1242337089,3256.0382548462,3262.3831435652
2366.5928310776,86.4128778031,587.6259275356,365.6070453318,107.5892922158,248.5896318806,3357.1486298549,2761.078615423,1279.630712772,554.0585720652,1771.9010297493,12410.555531278,6149.8546740214,760.1903413344,1.8082644693,1840.3599148697,4449.9176328605,2562.83093436,3909.9091809454,5836.8155848561
3237.7634813591,111.3947478768,802.4958043401,186.6001304903,129.6617071565,298.9108293688,2047.4368411984,1380.7460073379,958.1796852897,709.9856606054,1448.2376802785,11695.2611244928,4524.0612078603,705.9623992604,50.3310970487,1678.9394145643,4080.7589999215,1563.8715077973,4835.218551589,2690.2884105763
1370.0015547759,47.1153764393,339.6718460641,450.5770244912,82.6489732047,142.2736966401,680.6299107241,460.041382576,345.0594476899,321.308196618,591.1956906725,7455.7178472521,2537.3376459973,584.8218440523,120.1633913275,651.2292587998,2693.7424968241,987.8168542276,2585.8170273704,3216.9149066421
5095.3239965235,147.9605006454,759.244529538,121.2586168355,154.0723738523,281.1160635107,3313.4488065285,1674.3365391062,1228.496463752,766.3346175846,1338.1083869644,11725.6824769764,5551.4013531631,718.7838465609,23.0294719263,2407.7463341703,4894.0687247974,1889.2298397488,4498.2810639528,3330.3245179703
2268.3336373426,112.1216561855,683.7335618712,345.5422910856,144.5793738627,225.6506886189,2286.1879254411,2110.5886690101,1495.6766328043,546.0717080425,1505.6673759548,11466.5310949868,5704.6764948816,794.9117329362,35.2976856576,1139.721967423,4384.1044212615,2125.5801889167,3629.9511917012,3900.9480262667
282.2315254514,10.5563375852,108.4953988572,575.4878843172,22.1261414347,56.6166617797,2352.8019313858,2490.7555561298,1038.4848627608,134.9610015143,1619.1592503144,12193.3687859796,6023.440542879,852.5789997001,12.0979963467,1233.5488631708,1011.6336983633,2592.71171388,458.9900345175,6083.1806638484
1137.3823552025,36.396736406,424.797617806,472.1755693446,54.8273209488,163.4488914042,2280.0089756639,2589.6313093234,1192.466755186,479.2476702689,1719.0193423896,12299.8505541453,6069.3560473314,849.5575154379,6.940097039,1406.9315883162,2214.1690625981,2579.4287516326,1946.7052896876,6141.1820330396
4086.9341976769,152.0430541724,719.4502932116,125.6663983047,128.1950851794,297.6874161975,1879.8789838803,933.1565209792,1153.4732145569,829.8930922288,1063.569021155,7932.6714229634,4210.8925314777,442.0965961941,71.9012368016,1376.5736344783,5024.4282056863,1514.2794031586,3938.2546319945,2172.8725158731
3039.525619185,108.3528033707,707.612759695,241.1643484817,125.3491915387,257.0382019809,1581.7763110033,571.8672967622,618.5024937646,631.2147847325,873.5729063566,8030.5174845849,2467.7774206418,600.0073197106,114.3135350517,1072.21061606,4318.1340306394,1070.3727750661,4728.5227463909,2739.1014280211
2304.6716391015,77.0123953261,473.6926110206,381.7939491067,85.4049637049,234.5458173709,2223.9489044419,2185.5268010701,1093.5996536317,617.1089138389,1607.5127563202,10257.8083289952,5919.0120797235,814.5017383182,25.4834149761,1659.3136585883,3250.1430369188,1754.3200005824,2810.9901569158,4754.2570332865
3618.1634838476,92.2896002288,714.1460545324,246.4047117508,106.6237363212,214.3180043807,2116.4180624213,1580.7822273611,961.3850267834,753.2319304136,1400.2070973756,8860.7897440685,5118.1461925193,744.0923640357,50.8101069277,1550.0792632713,4804.6938253006,1923.5802612684,3587.030846938,3535.7892009461
736.2410477472,30.6884023813,237.5612304371,548.4404625083,38.3436096999,93.591725925,2708.5519946329,2718.2407847029,1388.5423786637,268.1181938433,1769.2031735923,12371.4825047714,6127.0452612279,864.4976090382,2.7881066084,1259.21854053,1687.0386636335,2564.6780887812,1296.4209065853,5849.7614433085
